rule_type,records,answerable_records,no_answer_records,answer_rate,total_gold_spans,avg_gold_spans_per_answerable,max_gold_spans_per_record,avg_answer_chars,avg_context_chars
Affiliate License-Licensee,449,88,361,0.19599109131403117,88,1.0,1,565.8863636363636,60377.86636971047
Affiliate License-Licensor,440,49,391,0.11136363636363636,49,1.0,1,601.4081632653061,58291.28636363636
Agreement Date,414,383,31,0.9251207729468599,383,1.0,1,18.39425587467363,53866.545893719805
Anti-Assignment,623,517,106,0.8298555377207063,517,1.0,1,299.5667311411992,70805.81219903691
Audit Rights,770,538,232,0.6987012987012987,538,1.0,1,308.71375464684013,92049.71688311688
Cap On Liability,731,554,177,0.7578659370725034,554,1.0,1,379.8537906137184,69094.67168262653
Change Of Control,504,191,313,0.37896825396825395,191,1.0,1,378.3089005235602,64740.65079365079
Competitive Restriction Exception,446,98,348,0.21973094170403587,98,1.0,1,468.8775510204082,60607.40134529148
Covenant Not To Sue,461,129,332,0.279826464208243,129,1.0,1,386.9612403100775,59105.49240780911
Document Name,419,419,0,1.0,419,1.0,1,29.639618138424822,53242.937947494036
Effective Date,451,363,88,0.8048780487804879,363,1.0,1,60.184573002754824,53378.343680709535
Exclusivity,593,332,261,0.5598650927487352,332,1.0,1,356.4427710843373,67235.04890387859
Expiration Date,457,384,73,0.8402625820568927,384,1.0,1,232.3203125,58614.98905908097
Governing Law,428,374,54,0.8738317757009346,374,1.0,1,204.7941176470588,55864.19859813084
Insurance,717,443,274,0.6178521617852162,443,1.0,1,325.07674943566593,81569.19944211995
Ip Ownership Assignment,564,257,307,0.45567375886524825,257,1.0,1,392.4513618677043,72363.65780141843
Irrevocable Or Perpetual License,493,142,351,0.2880324543610548,142,1.0,1,540.2957746478874,63989.2799188641
Joint Ip Ownership,470,101,369,0.2148936170212766,101,1.0,1,339.4257425742574,67164.70425531914
License Grant,845,642,203,0.7597633136094675,642,1.0,1,431.48442367601245,81885.10414201183
Liquidated Damages,459,98,361,0.21350762527233116,98,1.0,1,361.2959183673469,60248.72984749456
Minimum Commitment,611,336,275,0.5499181669394435,336,1.0,1,366.63988095238096,69885.19312602292
Most Favored Nation,418,35,383,0.08373205741626795,35,1.0,1,452.14285714285717,54505.68421052631
No-Solicit Of Customers,424,43,381,0.10141509433962265,43,1.0,1,299.69767441860466,54766.7712264151
No-Solicit Of Employees,432,73,359,0.16898148148148148,73,1.0,1,372.63013698630135,56863.2337962963
Non-Compete,512,200,312,0.390625,200,1.0,1,385.295,65072.095703125
Non-Disparagement,430,53,377,0.12325581395348838,53,1.0,1,396.45283018867923,54606.5488372093
Non-Transferable License,547,255,292,0.46617915904936014,255,1.0,1,435.25098039215686,64975.424131627056
Notice Period To Terminate Renewal,417,104,313,0.24940047961630696,104,1.0,1,308.72115384615387,54565.89928057554
Parties,2012,2011,1,0.9995029821073559,2011,1.0,1,22.773744405768273,60424.484592445326
Post-Termination Services,623,368,255,0.5906902086677368,368,1.0,1,464.8451086956522,92119.79614767255
Price Restrictions,420,27,393,0.06428571428571428,27,1.0,1,369.7037037037037,56292.969047619044
Renewal Term,437,179,258,0.4096109839816934,179,1.0,1,305.92737430167597,57236.8352402746
Revenue/Profit Sharing,608,331,277,0.5444078947368421,331,1.0,1,355.74018126888217,65970.83717105263
Rofr/Rofo/Rofn,639,299,340,0.4679186228482003,299,1.0,1,389.3578595317726,76479.31298904539
Source Code Escrow,457,61,396,0.13347921225382933,61,1.0,1,480.6393442622951,59845.59080962801
Termination For Convenience,459,205,254,0.4466230936819172,205,1.0,1,222.65853658536585,56443.17647058824
Third Party Beneficiary,410,28,382,0.06829268292682927,28,1.0,1,217.92857142857142,54139.678048780486
Uncapped Liability,461,151,310,0.3275488069414317,151,1.0,1,447.6754966887417,58759.663774403474
Unlimited/All-You-Can-Eat-License,420,26,394,0.06190476190476191,26,1.0,1,358.34615384615387,54645.89523809524
Volume Restriction,479,136,343,0.2839248434237996,136,1.0,1,277.8970588235294,57295.41962421712
Warranty Duration,500,157,343,0.314,157,1.0,1,302.0636942675159,61183.63
